Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment,HelpfulnessRatio,Year,ReviewLength
1,B93810,A3209,User_0,27,50,4,2014-03-03,Waste of money,Fast delivery! Product exceeded my expectations.,Positive,0.54,2014,6
2,B24592,A2033,User_1,6,47,5,2012-12-03,Bad quality,Terrible quality. Broke after one day. Very disappointed.,Positive,0.128,2012,8
3,B13278,A8498,User_2,1,1,5,2016-07-26,Waste of money,"It's okay, nothing special. Average product.",Positive,34.0,2016,6
4,B46048,A1605,User_3,27,31,5,2013-04-19,Terrible,Surprisingly good. Better than expected!,Positive,0.871,2013,5
5,B42098,A5807,User_4,7,7,2,2015-03-15,Waste of money,Defective out of the box. Waste of money.,Negative,1.857,2015,8
6,B39256,A4302,User_5,9,21,2,2019-07-19,Okay,Terrible quality. Broke after one day. Very disappointed.,Negative,0.429,2019,8
7,B28289,A1717,User_6,5,5,1,2011-04-28,Terrible,Great value for money. Works perfectly.,Negative,3.0,2011,6
8,B23434,A4268,User_7,11,11,5,2015-04-12,Okay,Customer service was unhelpful. Product is fine though.,Positive,1.364,2015,8
9,B98696,A1686,User_8,30,46,5,2010-08-08,Bad quality,Fast delivery! Product exceeded my expectations.,Positive,0.652,2010,6
10,B81482,A6170,User_9,41,56,5,2019-09-19,Terrible,Customer service was unhelpful. Product is fine though.,Positive,0.732,2019,8
11,B21395,A6080,User_10,24,39,1,2017-02-11,Bad quality,Terrible quality. Broke after one day. Very disappointed.,Negative,0.615,2017,8
12,B87397,A9444,User_11,12,35,5,2016-07-18,Bad quality,Terrible quality. Broke after one day. Very disappointed.,Positive,0.343,2016,8
13,B65302,A7524,User_12,5,14,5,2016-07-04,Waste of money,Customer service was unhelpful. Product is fine though.,Positive,0.357,2016,8
14,B14165,A9897,User_13,27,27,3,2016-12-17,Okay,Defective out of the box. Waste of money.,Neutral,1.593,2016,8
15,B13905,A8756,User_14,8,51,3,2010-10-19,Bad quality,Defective out of the box. Waste of money.,Neutral,0.157,2010,8
16,B22280,A5150,User_15,44,56,3,2015-04-19,Okay,This product is absolutely amazing! Totally worth the price.,Neutral,0.786,2015,9
17,B38657,A1599,User_16,35,48,4,2019-12-23,Okay,Great value for money. Works perfectly.,Positive,0.729,2019,6
18,B40495,A4131,User_17,42,44,4,2012-03-07,Terrible,Defective out of the box. Waste of money.,Positive,0.955,2012,8
19,B76237,A5687,User_18,17,17,4,2015-08-12,Love it,Great value for money. Works perfectly.,Positive,1.118,2015,6
20,B88907,A6848,User_19,1,1,3,2011-05-06,Waste of money,Great value for money. Works perfectly.,Neutral,17.0,2011,6
21,B13478,A1783,User_20,12,12,5,2019-09-24,Bad quality,Terrible quality. Broke after one day. Very disappointed.,Positive,3.5,2019,8
22,B83563,A6438,User_21,20,44,2,2017-08-20,Okay,Great value for money. Works perfectly.,Negative,0.455,2017,6
23,B36062,A5476,User_22,3,53,3,2014-04-13,Good product,Fast delivery! Product exceeded my expectations.,Neutral,0.057,2014,6
24,B95181,A3039,User_23,14,14,4,2015-12-11,Love it,Customer service was unhelpful. Product is fine though.,Positive,3.5,2015,8
25,B81426,A7029,User_24,19,19,4,2013-05-07,Bad quality,This product is absolutely amazing! Totally worth the price.,Positive,1.684,2013,9
26,B64987,A8159,User_25,26,28,5,2014-08-20,Good product,Surprisingly good. Better than expected!,Positive,0.929,2014,5
27,B38893,A7553,User_26,6,58,3,2010-08-10,Waste of money,Would not recommend. Poor build quality.,Neutral,0.103,2010,6
28,B68878,A8204,User_27,5,41,4,2019-10-07,Waste of money,This product is absolutely amazing! Totally worth the price.,Positive,0.122,2019,9
29,B87236,A7334,User_28,14,28,5,2019-07-31,Okay,Fast delivery! Product exceeded my expectations.,Positive,0.5,2019,6
30,B46463,A6554,User_29,2,2,1,2011-09-10,No Summary,This product is absolutely amazing! Totally worth the price.,Negative,8.5,2011,9
31,B10851,A4060,User_30,18,18,5,2011-07-17,Bad quality,Great value for money. Works perfectly.,Positive,1.722,2011,6
32,B30926,A9129,User_31,2,2,2,2012-03-31,Terrible,Terrible quality. Broke after one day. Very disappointed.,Negative,5.0,2012,8
33,B65392,A9151,User_32,19,53,1,2013-11-04,Love it,Would not recommend. Poor build quality.,Negative,0.358,2013,6
34,B54597,A7018,User_33,13,13,5,2014-08-04,Bad quality,Defective out of the box. Waste of money.,Positive,1.769,2014,8
35,B46421,A9507,User_34,14,39,5,2016-05-21,Love it,Terrible quality. Broke after one day. Very disappointed.,Positive,0.359,2016,8
36,B30379,A5369,User_35,47,58,5,2015-02-18,Okay,Great value for money. Works perfectly.,Positive,0.81,2015,6
37,B38221,A2353,User_36,6,54,4,2011-08-10,Waste of money,Great value for money. Works perfectly.,Positive,0.111,2011,6
38,B54118,A7955,User_37,3,3,1,2013-07-19,Okay,Would not recommend. Poor build quality.,Negative,6.667,2013,6
39,B23396,A2293,User_38,41,58,5,2019-09-03,Waste of money,Would not recommend. Poor build quality.,Positive,0.707,2019,6
40,B22156,A8055,User_39,25,59,4,2018-01-10,Bad quality,"It's okay, nothing special. Average product.",Positive,0.424,2018,6
41,B59797,A3956,User_40,43,51,2,2012-01-09,Waste of money,Love it! Will buy again for sure.,Negative,0.843,2012,7
42,B22676,A9937,User_41,10,10,4,2018-09-26,Okay,Love it! Will buy again for sure.,Positive,1.3,2018,7
43,B57052,A5813,User_42,36,57,1,2010-11-28,Great,Terrible quality. Broke after one day. Very disappointed.,Negative,0.632,2010,8
44,B55082,A6262,User_43,20,30,5,2015-06-21,Love it,Defective out of the box. Waste of money.,Positive,0.667,2015,8
45,B89131,A2680,User_44,17,42,3,2013-09-24,Good product,This product is absolutely amazing! Totally worth the price.,Neutral,0.405,2013,9
46,B44671,A2311,User_45,4,31,5,2017-01-28,Waste of money,Great value for money. Works perfectly.,Positive,0.129,2017,6
47,B15695,A6372,User_46,2,26,4,2011-12-26,Waste of money,Great value for money. Works perfectly.,Positive,0.077,2011,6
48,B70217,A5843,User_47,22,29,4,2013-07-07,Great,"It's okay, nothing special. Average product.",Positive,0.759,2013,6
49,B80284,A6021,User_48,25,42,4,2017-02-11,Bad quality,Terrible quality. Broke after one day. Very disappointed.,Positive,0.595,2017,8
50,B26361,A8305,User_49,1,1,3,2010-08-26,Bad quality,Terrible quality. Broke after one day. Very disappointed.,Neutral,36.0,2010,8
51,B59615,A7981,User_50,23,48,5,2010-01-20,Bad quality,Customer service was unhelpful. Product is fine though.,Positive,0.479,2010,8
52,B20328,A3730,User_51,8,8,5,2015-01-26,Good product,Would not recommend. Poor build quality.,Positive,6.0,2015,6
53,B82357,A8272,User_52,18,27,5,2013-01-25,Terrible,Defective out of the box. Waste of money.,Positive,0.667,2013,8
54,B48427,A6759,User_53,24,30,5,2012-05-07,Great,Would not recommend. Poor build quality.,Positive,0.8,2012,6
55,B92397,A8325,User_54,20,59,5,2018-07-15,Good product,Defective out of the box. Waste of money.,Positive,0.339,2018,8
56,B91070,A1693,User_55,11,33,5,2018-09-04,Great,Fast delivery! Product exceeded my expectations.,Positive,0.333,2018,6
57,B57400,A6776,User_56,40,55,1,2011-11-22,Waste of money,Surprisingly good. Better than expected!,Negative,0.727,2011,5
58,B85674,A8126,User_57,14,14,3,2016-06-18,Love it,Love it! Will buy again for sure.,Neutral,2.286,2016,7
59,B35203,A5498,User_58,47,47,1,2018-07-29,Great,Love it! Will buy again for sure.,Negative,1.043,2018,7
60,B19116,A1939,User_59,3,24,4,2011-10-11,Terrible,Defective out of the box. Waste of money.,Positive,0.125,2011,8
61,B16006,A2229,User_60,35,35,4,2015-06-29,Okay,Love it! Will buy again for sure.,Positive,1.171,2015,7
62,B96673,A7655,User_61,6,7,3,2018-10-22,Good product,Would not recommend. Poor build quality.,Neutral,0.857,2018,6
63,B39871,A6952,User_62,8,8,5,2018-07-25,Great,Great value for money. Works perfectly.,Positive,2.625,2018,6
64,B47930,A9406,User_63,32,57,4,2018-09-29,Great,Would not recommend. Poor build quality.,Positive,0.561,2018,6
65,B20458,A3621,User_64,16,57,3,2010-12-27,Terrible,Defective out of the box. Waste of money.,Neutral,0.281,2010,8
66,B40512,A1510,User_65,23,36,4,2011-06-15,Love it,Terrible quality. Broke after one day. Very disappointed.,Positive,0.639,2011,8
67,B23238,A3339,User_66,33,47,2,2016-11-21,Great,Would not recommend. Poor build quality.,Negative,0.702,2016,6
68,B59823,A8179,User_67,27,44,5,2014-11-12,Great,Love it! Will buy again for sure.,Positive,0.614,2014,7
69,B46434,A1570,User_68,38,38,1,2017-02-07,Love it,"It's okay, nothing special. Average product.",Negative,1.105,2017,6
70,B69429,A3068,User_69,31,31,5,2014-10-25,Terrible,Customer service was unhelpful. Product is fine though.,Positive,1.29,2014,8
71,B93320,A2101,User_70,38,57,5,2014-07-11,Good product,Great value for money. Works perfectly.,Positive,0.667,2014,6
72,B57819,A4866,User_71,21,51,3,2014-10-24,Good product,Love it! Will buy again for sure.,Neutral,0.412,2014,7
73,B31319,A7001,User_72,16,16,1,2015-05-10,Great,"It's okay, nothing special. Average product.",Negative,3.0,2015,6
74,B58520,A6933,User_73,16,34,5,2014-04-20,Love it,Defective out of the box. Waste of money.,Positive,0.471,2014,8
75,B56566,A7272,User_74,33,36,5,2010-01-20,Great,Fast delivery! Product exceeded my expectations.,Positive,0.917,2010,6
76,B37460,A1530,User_75,5,18,5,2010-06-04,Bad quality,"It's okay, nothing special. Average product.",Positive,0.278,2010,6
77,B97841,A3513,User_76,43,43,5,2015-12-27,Okay,Surprisingly good. Better than expected!,Positive,1.047,2015,5
78,B44993,A8371,User_77,5,28,1,2012-03-27,Good product,Fast delivery! Product exceeded my expectations.,Negative,0.179,2012,6
79,B99593,A7077,User_78,33,58,4,2018-03-12,Bad quality,This product is absolutely amazing! Totally worth the price.,Positive,0.569,2018,9
80,B94939,A7095,User_79,0,6,2,2014-03-09,Waste of money,Great value for money. Works perfectly.,Negative,0.0,2014,6
81,B19358,A8273,User_80,9,27,5,2010-02-27,Okay,Love it! Will buy again for sure.,Positive,0.333,2010,7
82,B89840,A2259,User_81,8,8,5,2013-08-12,Great,This product is absolutely amazing! Totally worth the price.,Positive,2.5,2013,9
83,B93227,A3255,User_82,4,27,4,2018-06-28,Terrible,Would not recommend. Poor build quality.,Positive,0.148,2018,6
84,B32431,A9674,User_83,1,5,1,2019-05-06,Good product,Defective out of the box. Waste of money.,Negative,0.2,2019,8
85,B80010,A7012,User_84,21,28,4,2015-12-16,Waste of money,Great value for money. Works perfectly.,Positive,0.75,2015,6
86,B42087,A7521,User_85,47,57,4,2012-02-20,No Summary,Terrible quality. Broke after one day. Very disappointed.,Positive,0.825,2012,8
87,B31417,A6150,User_86,1,16,5,2010-03-15,Good product,Fast delivery! Product exceeded my expectations.,Positive,0.062,2010,6
88,B70589,A5566,User_87,9,15,5,2017-08-03,Love it,Terrible quality. Broke after one day. Very disappointed.,Positive,0.6,2017,8
89,B59735,A5089,User_88,22,22,5,2010-01-17,Terrible,This product is absolutely amazing! Totally worth the price.,Positive,1.5,2010,9
90,B45382,A2858,User_89,15,30,4,2017-01-10,Okay,"It's okay, nothing special. Average product.",Positive,0.5,2017,6
91,B93886,A1424,User_90,2,2,2,2018-03-24,Love it,"It's okay, nothing special. Average product.",Negative,23.5,2018,6
92,B83000,A4048,Anonymous,20,20,5,2012-10-16,Bad quality,Defective out of the box. Waste of money.,Positive,1.9,2012,8
93,B38785,A9176,User_92,21,25,5,2012-07-15,Great,This product is absolutely amazing! Totally worth the price.,Positive,0.84,2012,9
94,B99733,A9482,User_93,11,35,5,2017-10-11,Love it,Customer service was unhelpful. Product is fine though.,Positive,0.314,2017,8
95,B52504,A7340,User_94,23,41,5,2019-11-02,Okay,Great value for money. Works perfectly.,Positive,0.561,2019,6
96,B17331,A2929,User_95,36,36,4,2013-11-11,Okay,Fast delivery! Product exceeded my expectations.,Positive,1.278,2013,6
97,B40021,A5288,User_96,39,52,4,2013-07-02,Bad quality,"It's okay, nothing special. Average product.",Positive,0.75,2013,6
98,B14207,A5264,User_97,21,21,4,2011-06-13,Great,"It's okay, nothing special. Average product.",Positive,1.762,2011,6
99,B51347,A8311,User_98,9,41,1,2011-02-25,Love it,Terrible quality. Broke after one day. Very disappointed.,Negative,0.22,2011,8
100,B62581,A4515,User_99,11,11,2,2014-04-21,Love it,Terrible quality. Broke after one day. Very disappointed.,Negative,3.091,2014,8
101,B45093,A5678,Anonymous,41,41,1,2015-08-24,Great,Love it! Will buy again for sure.,Negative,1.171,2015,7
102,B18675,A9047,User_101,12,12,5,2016-08-08,Love it,Would not recommend. Poor build quality.,Positive,2.583,2016,6
103,B37653,A4279,User_102,6,10,4,2013-06-07,Good product,Customer service was unhelpful. Product is fine though.,Positive,0.6,2013,8
104,B84341,A3009,User_103,20,53,4,2011-11-16,Great,Terrible quality. Broke after one day. Very disappointed.,Positive,0.377,2011,8
105,B51245,A3223,Anonymous,15,15,5,2010-09-25,Terrible,Terrible quality. Broke after one day. Very disappointed.,Positive,1.267,2010,8
106,B37869,A2213,User_105,7,7,3,2019-03-29,Okay,Great value for money. Works perfectly.,Neutral,3.571,2019,6
107,B95909,A8406,User_106,3,39,4,2010-07-07,Terrible,Love it! Will buy again for sure.,Positive,0.077,2010,7
